,No,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent
0,1,Afghanistan,AFG,4,Southern Asia,,Asia
1,2,Åland Islands,ALA,248,Northern Europe,,Europe
2,3,Albania,ALB,8,Southern Europe,,Europe
3,4,Algeria,DZA,12,Northern Africa,,Africa
4,5,American Samoa,ASM,16,Polynesia,,Oceania
5,6,Andorra,AND,20,Southern Europe,,Europe
6,7,Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa
7,8,Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America
8,9,Antarctica,ATA,10,Antarctica,,Antarctica
9,10,Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America
10,11,Argentina,ARG,32,South America,Latin America and the Caribbean,South America
11,12,Armenia,ARM,51,Western Asia,,Asia
12,13,Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America
13,14,Australia,AUS,36,Australia and New Zealand,,Oceania
14,15,Austria,AUT,40,Western Europe,,Europe
15,16,Azerbaijan,AZE,31,Western Asia,,Asia
16,17,Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America
17,18,Bahrain,BHR,48,Western Asia,,Asia
18,19,Bangladesh,BGD,50,Southern Asia,,Asia
19,20,Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America
20,21,Belarus,BLR,112,Eastern Europe,,Europe
21,22,Belgium,BEL,56,Western Europe,,Europe
22,23,Belize,BLZ,84,Central America,Latin America and the Caribbean,North America
23,24,Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa
24,25,Bermuda,BMU,60,Northern America,,North America
25,26,Bhutan,BTN,64,Southern Asia,,Asia
26,27,Bolivia (Plurinational State of),BOL,68,South America,Latin America and the Caribbean,South America
27,28,"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and the Caribbean,North America
28,29,Bosnia and Herzegovina,BIH,70,Southern Europe,,Europe
29,30,Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa
30,31,Bouvet Island,BVT,74,South America,Latin America and the Caribbean,South America
31,32,Brazil,BRA,76,South America,Latin America and the Caribbean,South America
32,33,British Indian Ocean Territory,IOT,86,Eastern Africa,Sub-Saharan Africa,Africa
33,34,British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America
34,35,Brunei Darussalam,BRN,96,South-eastern Asia,,Asia
35,36,Bulgaria,BGR,100,Eastern Europe,,Europe
36,37,Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa
37,38,Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa
38,39,Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa
39,40,Cambodia,KHM,116,South-eastern Asia,,Asia
40,41,Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa
41,42,Canada,CAN,124,Northern America,,North America
42,43,Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America
43,44,Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa
44,45,Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa
45,46,Chile,CHL,152,South America,Latin America and the Caribbean,South America
46,47,China,CHN,156,Eastern Asia,,Asia
47,48,"China, Hong Kong Special Administrative Region",HKG,344,Eastern Asia,,Asia
48,49,"China, Macao Special Administrative Region",MAC,446,Eastern Asia,,Asia
49,50,Christmas Island,CXR,162,Australia and New Zealand,,Oceania
50,51,Cocos (Keeling) Islands,CCK,166,Australia and New Zealand,,Oceania
51,52,Colombia,COL,170,South America,Latin America and the Caribbean,South America
52,53,Comoros,COM,174,Eastern Africa,Sub-Saharan Africa,Africa
53,54,Congo,COG,178,Middle Africa,Sub-Saharan Africa,Africa
54,55,Cook Islands,COK,184,Polynesia,,Oceania
55,56,Costa Rica,CRI,188,Central America,Latin America and the Caribbean,North America
56,57,Côte d’Ivoire,CIV,384,Western Africa,Sub-Saharan Africa,Africa
57,58,Croatia,HRV,191,Southern Europe,,Europe
58,59,Cuba,CUB,192,Caribbean,Latin America and the Caribbean,North America
59,60,Curaçao,CUW,531,Caribbean,Latin America and the Caribbean,North America
60,61,Cyprus,CYP,196,Western Asia,,Asia
61,62,Czechia,CZE,203,Eastern Europe,,Europe
62,63,Democratic People's Republic of Korea,PRK,408,Eastern Asia,,Asia
63,64,Democratic Republic of the Congo,COD,180,Middle Africa,Sub-Saharan Africa,Africa
64,65,Denmark,DNK,208,Northern Europe,,Europe
65,66,Djibouti,DJI,262,Eastern Africa,Sub-Saharan Africa,Africa
66,67,Dominica,DMA,212,Caribbean,Latin America and the Caribbean,North America
67,68,Dominican Republic,DOM,214,Caribbean,Latin America and the Caribbean,North America
68,69,Ecuador,ECU,218,South America,Latin America and the Caribbean,South America
69,70,Egypt,EGY,818,Northern Africa,,Africa
70,71,El Salvador,SLV,222,Central America,Latin America and the Caribbean,North America
71,72,Equatorial Guinea,GNQ,226,Middle Africa,Sub-Saharan Africa,Africa
72,73,Eritrea,ERI,232,Eastern Africa,Sub-Saharan Africa,Africa
73,74,Estonia,EST,233,Northern Europe,,Europe
74,75,Eswatini,SWZ,748,Southern Africa,Sub-Saharan Africa,Africa
75,76,Ethiopia,ETH,231,Eastern Africa,Sub-Saharan Africa,Africa
76,77,Falkland Islands (Malvinas),FLK,238,South America,Latin America and the Caribbean,South America
77,78,Faroe Islands,FRO,234,Northern Europe,,Europe
78,79,Fiji,FJI,242,Melanesia,,Oceania
79,80,Finland,FIN,246,Northern Europe,,Europe
80,81,France,FRA,250,Western Europe,,Europe
81,82,French Guiana,GUF,254,South America,Latin America and the Caribbean,South America
82,83,French Polynesia,PYF,258,Polynesia,,Oceania
83,84,French Southern Territories,ATF,260,Eastern Africa,Sub-Saharan Africa,Africa
84,85,Gabon,GAB,266,Middle Africa,Sub-Saharan Africa,Africa
85,86,Gambia,GMB,270,Western Africa,Sub-Saharan Africa,Africa
86,87,Georgia,GEO,268,Western Asia,,Asia
87,88,Germany,DEU,276,Western Europe,,Europe
88,89,Ghana,GHA,288,Western Africa,Sub-Saharan Africa,Africa
89,90,Gibraltar,GIB,292,Southern Europe,,Europe
90,91,Greece,GRC,300,Southern Europe,,Europe
91,92,Greenland,GRL,304,Northern America,,North America
92,93,Grenada,GRD,308,Caribbean,Latin America and the Caribbean,North America
93,94,Guadeloupe,GLP,312,Caribbean,Latin America and the Caribbean,North America
94,95,Guam,GUM,316,Micronesia,,Oceania
95,96,Guatemala,GTM,320,Central America,Latin America and the Caribbean,North America
96,97,Guernsey,GGY,831,Northern Europe,Channel Islands,Europe
97,98,Guinea,GIN,324,Western Africa,Sub-Saharan Africa,Africa
98,99,Guinea-Bissau,GNB,624,Western Africa,Sub-Saharan Africa,Africa
99,100,Guyana,GUY,328,South America,Latin America and the Caribbean,South America
100,101,Haiti,HTI,332,Caribbean,Latin America and the Caribbean,North America
101,102,Heard Island and McDonald Islands,HMD,334,Australia and New Zealand,,Oceania
102,103,Holy See,VAT,336,Southern Europe,,Europe
103,104,Honduras,HND,340,Central America,Latin America and the Caribbean,North America
104,105,Hungary,HUN,348,Eastern Europe,,Europe
105,106,Iceland,ISL,352,Northern Europe,,Europe
106,107,India,IND,356,Southern Asia,,Asia
107,108,Indonesia,IDN,360,South-eastern Asia,,Asia
108,109,Iran (Islamic Republic of),IRN,364,Southern Asia,,Asia
109,110,Iraq,IRQ,368,Western Asia,,Asia
110,111,Ireland,IRL,372,Northern Europe,,Europe
111,112,Isle of Man,IMN,833,Northern Europe,,Europe
112,113,Israel,ISR,376,Western Asia,,Asia
113,114,Italy,ITA,380,Southern Europe,,Europe
114,115,Jamaica,JAM,388,Caribbean,Latin America and the Caribbean,North America
115,116,Japan,JPN,392,Eastern Asia,,Asia
116,117,Jersey,JEY,832,Northern Europe,Channel Islands,Europe
117,118,Jordan,JOR,400,Western Asia,,Asia
118,119,Kazakhstan,KAZ,398,Central Asia,,Asia
119,120,Kenya,KEN,404,Eastern Africa,Sub-Saharan Africa,Africa
120,121,Kiribati,KIR,296,Micronesia,,Oceania
121,122,Kuwait,KWT,414,Western Asia,,Asia
122,123,Kyrgyzstan,KGZ,417,Central Asia,,Asia
123,124,Lao People's Democratic Republic,LAO,418,South-eastern Asia,,Asia
124,125,Latvia,LVA,428,Northern Europe,,Europe
125,126,Lebanon,LBN,422,Western Asia,,Asia
126,127,Lesotho,LSO,426,Southern Africa,Sub-Saharan Africa,Africa
127,128,Liberia,LBR,430,Western Africa,Sub-Saharan Africa,Africa
128,129,Libya,LBY,434,Northern Africa,,Africa
129,130,Liechtenstein,LIE,438,Western Europe,,Europe
130,131,Lithuania,LTU,440,Northern Europe,,Europe
131,132,Luxembourg,LUX,442,Western Europe,,Europe
132,133,Madagascar,MDG,450,Eastern Africa,Sub-Saharan Africa,Africa
133,134,Malawi,MWI,454,Eastern Africa,Sub-Saharan Africa,Africa
134,135,Malaysia,MYS,458,South-eastern Asia,,Asia
135,136,Maldives,MDV,462,Southern Asia,,Asia
136,137,Mali,MLI,466,Western Africa,Sub-Saharan Africa,Africa
137,138,Malta,MLT,470,Southern Europe,,Europe
138,139,Marshall Islands,MHL,584,Micronesia,,Oceania
139,140,Martinique,MTQ,474,Caribbean,Latin America and the Caribbean,North America
140,141,Mauritania,MRT,478,Western Africa,Sub-Saharan Africa,Africa
141,142,Mauritius,MUS,480,Eastern Africa,Sub-Saharan Africa,Africa
142,143,Mayotte,MYT,175,Eastern Africa,Sub-Saharan Africa,Africa
143,144,Mexico,MEX,484,Central America,Latin America and the Caribbean,North America
144,145,Micronesia (Federated States of),FSM,583,Micronesia,,Oceania
145,146,Monaco,MCO,492,Western Europe,,Europe
146,147,Mongolia,MNG,496,Eastern Asia,,Asia
147,148,Montenegro,MNE,499,Southern Europe,,Europe
148,149,Montserrat,MSR,500,Caribbean,Latin America and the Caribbean,North America
149,150,Morocco,MAR,504,Northern Africa,,Africa
150,151,Mozambique,MOZ,508,Eastern Africa,Sub-Saharan Africa,Africa
151,152,Myanmar,MMR,104,South-eastern Asia,,Asia
152,153,Namibia,NAM,516,Southern Africa,Sub-Saharan Africa,Africa
153,154,Nauru,NRU,520,Micronesia,,Oceania
154,155,Nepal,NPL,524,Southern Asia,,Asia
155,156,Netherlands,NLD,528,Western Europe,,Europe
156,157,New Caledonia,NCL,540,Melanesia,,Oceania
157,158,New Zealand,NZL,554,Australia and New Zealand,,Oceania
158,159,Nicaragua,NIC,558,Central America,Latin America and the Caribbean,North America
159,160,Niger,NER,562,Western Africa,Sub-Saharan Africa,Africa
160,161,Nigeria,NGA,566,Western Africa,Sub-Saharan Africa,Africa
161,162,Niue,NIU,570,Polynesia,,Oceania
162,163,Norfolk Island,NFK,574,Australia and New Zealand,,Oceania
163,164,North Macedonia,MKD,807,Southern Europe,,Europe
164,165,Northern Mariana Islands,MNP,580,Micronesia,,Oceania
165,166,Norway,NOR,578,Northern Europe,,Europe
166,167,Oman,OMN,512,Western Asia,,Asia
167,168,Pakistan,PAK,586,Southern Asia,,Asia
168,169,Palau,PLW,585,Micronesia,,Oceania
169,170,Panama,PAN,591,Central America,Latin America and the Caribbean,North America
170,171,Papua New Guinea,PNG,598,Melanesia,,Oceania
171,172,Paraguay,PRY,600,South America,Latin America and the Caribbean,South America
172,173,Peru,PER,604,South America,Latin America and the Caribbean,South America
173,174,Philippines,PHL,608,South-eastern Asia,,Asia
174,175,Pitcairn,PCN,612,Polynesia,,Oceania
175,176,Poland,POL,616,Eastern Europe,,Europe
176,177,Portugal,PRT,620,Southern Europe,,Europe
177,178,Puerto Rico,PRI,630,Caribbean,Latin America and the Caribbean,North America
178,179,Qatar,QAT,634,Western Asia,,Asia
179,180,Republic of Korea,KOR,410,Eastern Asia,,Asia
180,181,Republic of Moldova,MDA,498,Eastern Europe,,Europe
181,182,Réunion,REU,638,Eastern Africa,Sub-Saharan Africa,Africa
182,183,Romania,ROU,642,Eastern Europe,,Europe
183,184,Russian Federation,RUS,643,Eastern Europe,,Europe
184,185,Rwanda,RWA,646,Eastern Africa,Sub-Saharan Africa,Africa
185,186,Saint Barthélemy,BLM,652,Caribbean,Latin America and the Caribbean,North America
186,187,Saint Helena,SHN,654,Western Africa,Sub-Saharan Africa,Africa
187,188,Saint Kitts and Nevis,KNA,659,Caribbean,Latin America and the Caribbean,North America
188,189,Saint Lucia,LCA,662,Caribbean,Latin America and the Caribbean,North America
189,190,Saint Martin (French Part),MAF,663,Caribbean,Latin America and the Caribbean,North America
190,191,Saint Pierre and Miquelon,SPM,666,Northern America,,North America
191,192,Saint Vincent and the Grenadines,VCT,670,Caribbean,Latin America and the Caribbean,North America
192,193,Samoa,WSM,882,Polynesia,,Oceania
193,194,San Marino,SMR,674,Southern Europe,,Europe
194,195,Sao Tome and Principe,STP,678,Middle Africa,Sub-Saharan Africa,Africa
195,196,Sark,,680,Northern Europe,Channel Islands,Europe
196,197,Saudi Arabia,SAU,682,Western Asia,,Asia
197,198,Senegal,SEN,686,Western Africa,Sub-Saharan Africa,Africa
198,199,Serbia,SRB,688,Southern Europe,,Europe
199,200,Seychelles,SYC,690,Eastern Africa,Sub-Saharan Africa,Africa
200,201,Sierra Leone,SLE,694,Western Africa,Sub-Saharan Africa,Africa
201,202,Singapore,SGP,702,South-eastern Asia,,Asia
202,203,Sint Maarten (Dutch part),SXM,534,Caribbean,Latin America and the Caribbean,North America
203,204,Slovakia,SVK,703,Eastern Europe,,Europe
204,205,Slovenia,SVN,705,Southern Europe,,Europe
205,206,Solomon Islands,SLB,90,Melanesia,,Oceania
206,207,Somalia,SOM,706,Eastern Africa,Sub-Saharan Africa,Africa
207,208,South Africa,ZAF,710,Southern Africa,Sub-Saharan Africa,Africa
208,209,South Georgia and the South Sandwich Islands,SGS,239,South America,Latin America and the Caribbean,South America
209,210,South Sudan,SSD,728,Eastern Africa,Sub-Saharan Africa,Africa
210,211,Spain,ESP,724,Southern Europe,,Europe
211,212,Sri Lanka,LKA,144,Southern Asia,,Asia
212,213,State of Palestine,PSE,275,Western Asia,,Asia
213,214,Sudan,SDN,729,Northern Africa,,Africa
214,215,Suriname,SUR,740,South America,Latin America and the Caribbean,South America
215,216,Svalbard and Jan Mayen Islands,SJM,744,Northern Europe,,Europe
216,217,Sweden,SWE,752,Northern Europe,,Europe
217,218,Switzerland,CHE,756,Western Europe,,Europe
218,219,Syrian Arab Republic,SYR,760,Western Asia,,Asia
219,220,Tajikistan,TJK,762,Central Asia,,Asia
220,221,Thailand,THA,764,South-eastern Asia,,Asia
221,222,Timor-Leste,TLS,626,South-eastern Asia,,Asia
222,223,Togo,TGO,768,Western Africa,Sub-Saharan Africa,Africa
223,224,Tokelau,TKL,772,Polynesia,,Oceania
224,225,Tonga,TON,776,Polynesia,,Oceania
225,226,Trinidad and Tobago,TTO,780,Caribbean,Latin America and the Caribbean,North America
226,227,Tunisia,TUN,788,Northern Africa,,Africa
227,228,Turkey,TUR,792,Western Asia,,Asia
228,229,Turkmenistan,TKM,795,Central Asia,,Asia
229,230,Turks and Caicos Islands,TCA,796,Caribbean,Latin America and the Caribbean,North America
230,231,Tuvalu,TUV,798,Polynesia,,Oceania
231,232,Uganda,UGA,800,Eastern Africa,Sub-Saharan Africa,Africa
232,233,Ukraine,UKR,804,Eastern Europe,,Europe
233,234,United Arab Emirates,ARE,784,Western Asia,,Asia
234,235,United Kingdom of Great Britain and Northern Ireland,GBR,826,Northern Europe,,Europe
235,236,United Republic of Tanzania,TZA,834,Eastern Africa,Sub-Saharan Africa,Africa
236,237,United States Minor Outlying Islands,UMI,581,Micronesia,,Oceania
237,238,United States of America,USA,840,Northern America,,North America
238,239,United States Virgin Islands,VIR,850,Caribbean,Latin America and the Caribbean,North America
239,240,Uruguay,URY,858,South America,Latin America and the Caribbean,South America
240,241,Uzbekistan,UZB,860,Central Asia,,Asia
241,242,Vanuatu,VUT,548,Melanesia,,Oceania
242,243,Venezuela (Bolivarian Republic of),VEN,862,South America,Latin America and the Caribbean,South America
243,244,Viet Nam,VNM,704,South-eastern Asia,,Asia
244,245,Wallis and Futuna Islands,WLF,876,Polynesia,,Oceania
245,246,Western Sahara,ESH,732,Northern Africa,,Africa
246,247,Yemen,YEM,887,Western Asia,,Asia
247,248,Zambia,ZMB,894,Eastern Africa,Sub-Saharan Africa,Africa
248,249,Zimbabwe,ZWE,716,Eastern Africa,Sub-Saharan Africa,Africa
